
[+] Resolving hosts from [ host.txt ]
+-----------------------------------------------------------------------------+-----------------+-------+
| Hostname                                                                    | IP              | RType |
| cpcontacts.mardandc.peshawarhighcourt.gov.pk                                | 217.79.245.242  |   A   |
| cpcontacts.matab.hamdard.com.pk                                             | 72.52.178.67    |   A   |
| cpcontacts.mec.net.pk                                                       | 192.254.185.169 |   A   |
| cpcontacts.microtech.net.pk                                                 | 23.226.129.108  |   A   |
| cpcontacts.millat.com.pk                                                    | 50.87.225.151   |   A   |
| cpcontacts.mis.nha.gov.pk                                                   | 23.226.129.112  |   A   |
| cpcontacts.mitchells.com.pk                                                 | 209.159.149.211 |   A   |
| cpcontacts.mobile.pizzahut.com.pk                                           | 23.226.129.112  |   A   |
| cpcontacts.mobileapp.saifeehospital.com.pk                                  | 198.252.99.166  |   A   |
| cpcontacts.mobiz.sidathyder.com.pk                                          | 173.205.126.118 |   A   |
| cpcontacts.mobizpk.sidathyder.com.pk                                        | 173.205.126.118 |   A   |
| cpcontacts.moodle.kims.net.pk                                               | 138.201.162.195 |   A   |
| cpcontacts.moodle.uo.edu.pk                                                 | 194.163.138.108 |   A   |
| cpcontacts.muallim-ul-quran.aims.net.pk                                     | 198.38.82.230   |   A   |
| cpcontacts.mufap.com.pk                                                     | 144.91.79.25    |   A   |
| cpcontacts.my.gift.edu.pk                                                   | 162.241.224.233 |   A   |
| cpcontacts.ncmr.uo.edu.pk                                                   | 194.163.138.108 |   A   |
| cpcontacts.neurology.shifa.com.pk                                           | 203.82.48.218   |   A   |
| cpcontacts.new.lej4learning.com.pk                                          | 74.81.91.181    |   A   |
| cpcontacts.new.pakre.org.pk                                                 | 210.56.18.40    |   A   |
| cpcontacts.new.purchase.com.pk                                              | 68.65.122.205   |   A   |
| cpcontacts.new.qih.com.pk                                                   | 208.117.38.11   |   A   |
| cpcontacts.new.srso.org.pk                                                  | 5.9.81.62       |   A   |
| cpcontacts.news.com.pk                                                      | 173.212.196.60  |   A   |
| cpcontacts.newsite.cdc.net.pk                                               | 198.187.29.149  |   A   |
| cpcontacts.nha.gov.pk                                                       | 23.226.129.112  |   A   |
| cpcontacts.nip.com.pk                                                       | 173.254.30.214  |   A   |
| cpcontacts.nips.org.pk                                                      | 216.137.186.121 |   A   |
| cpcontacts.nm1.nova.net.pk                                                  | 87.98.174.159   |   A   |
| cpcontacts.nova.net.pk                                                      | 87.98.174.159   |   A   |
| cpcontacts.nowsheradc.peshawarhighcourt.gov.pk                              | 217.79.245.242  |   A   |
| cpcontacts.nrsp.org.pk                                                      | 192.185.75.146  |   A   |
| cpcontacts.ns.nova.net.pk                                                   | 87.98.174.159   |   A   |
| cpcontacts.nsc.gift.edu.pk                                                  | 162.241.224.233 |   A   |
| cpcontacts.nswb.balochistan.gov.pk                                          | 192.185.182.82  |   A   |
| cpcontacts.ntc.gov.pk                                                       | 58.65.168.132   |   A   |
| cpcontacts.nts.org.pk                                                       | 172.67.70.182   |   A   |
| cpcontacts.numspak.edu.pk                                                   | 104.26.3.183    |   A   |
| cpcontacts.ocean.net.pk                                                     | 217.79.245.243  |   A   |
| cpcontacts.ojs.gcwus.edu.pk                                                 | 162.213.251.63  |   A   |
| cpcontacts.ojs.jpma.org.pk                                                  | 162.0.215.251   |   A   |
| cpcontacts.old.kinnaird.edu.pk                                              | 116.202.132.25  |   A   |
| cpcontacts.old.nha.gov.pk                                                   | 23.226.129.112  |   A   |
| cpcontacts.online.icap.org.pk                                               | 64.27.62.186    |   A   |
| cpcontacts.online.pcp.org.pk                                                | 192.185.166.223 |   A   |
| cpcontacts.oric.cmhlahore.edu.pk                                            | 65.21.166.30    |   A   |
| cpcontacts.oric.kinnaird.edu.pk                                             | 116.202.132.25  |   A   |
| cpcontacts.oric.oric.aust.edu.pk                                            | 104.223.95.197  |   A   |
| cpcontacts.oric.superior.edu.pk                                             | 162.241.85.206  |   A   |
| cpcontacts.orientlifeillustration.sidathyder.com.pk                         | 173.205.126.118 |   A   |
| cpcontacts.ots.nova.net.pk                                                  | 87.98.174.159   |   A   |
| cpcontacts.ots2.nova.net.pk                                                 | 87.98.174.159   |   A   |
| cpcontacts.pafkiet.edu.pk                                                   | 72.18.132.49    |   A   |
| cpcontacts.page.org.pk                                                      | 172.67.160.180  |   A   |
| cpcontacts.pakpost.gov.pk                                                   | 203.82.48.218   |   A   |
| cpcontacts.pakpost.pakpost.gov.pk                                           | 203.82.48.218   |   A   |
| cpcontacts.pakre.org.pk                                                     | 210.56.18.40    |   A   |
| cpcontacts.panjgur.balochistan.gov.pk                                       | 192.185.182.82  |   A   |
| cpcontacts.paramount.net.pk                                                 | 70.32.23.17     |   A   |
| cpcontacts.partners.nova.net.pk                                             | 87.98.174.159   |   A   |
| cpcontacts.pasha.org.pk                                                     | 116.202.132.25  |   A   |
| cpcontacts.password.com.pk                                                  | 158.69.185.137  |   A   |
| cpcontacts.pbc.org.pk                                                       | 162.254.250.97  |   A   |
| cpcontacts.pbl.csit.superior.edu.pk                                         | 162.241.85.206  |   A   |
| cpcontacts.pcp.org.pk                                                       | 192.185.166.223 |   A   |
| cpcontacts.pda.net.pk                                                       | 135.181.211.109 |   A   |
| cpcontacts.pecongress.org.pk                                                | 81.19.211.2     |   A   |
| cpcontacts.peshawar.peshawarhighcourt.gov.pk                                | 217.79.245.242  |   A   |
| cpcontacts.pgeb.balochistan.gov.pk                                          | 192.185.182.82  |   A   |
| cpcontacts.phl.net.pk                                                       | 172.67.193.130  |   A   |
| cpcontacts.picg.org.pk                                                      | 64.27.62.186    |   A   |
| cpcontacts.pidc.com.pk                                                      | 72.18.132.9     |   A   |
| cpcontacts.pide.org.pk                                                      | unresolvable    | error |
| cpcontacts.pif.org.pk                                                       | 50.87.150.217   |   A   |
| cpcontacts.pifd.edu.pk                                                      | 198.54.115.115  |   A   |
| cpcontacts.piler.org.pk                                                     | 184.154.162.106 |   A   |
| cpcontacts.pill.org.pk                                                      | 50.87.216.226   |   A   |
| cpcontacts.pizzahut.com.pk                                                  | 23.226.129.112  |   A   |
| cpcontacts.pizzahut.pizzahut.com.pk                                         | 23.226.129.112  | error |
| cpcontacts.pjms.org.pk                                                      | 85.187.132.85   |   A   |
| cpcontacts.pkli.org.pk                                                      | 162.241.14.112  |   A   |
| cpcontacts.portal.baqai.edu.pk                                              | 50.87.151.20    |   A   |
| cpcontacts.portal.bbi.net.pk                                                | 192.254.188.45  |   A   |
| cpcontacts.portal.bhc.gov.pk                                                | 162.144.18.22   |   A   |
| cpcontacts.portal.issi.org.pk                                               | 203.82.48.219   |   A   |
| cpcontacts.portal.pizzahut.com.pk                                           | 23.226.129.112  |   A   |
| cpcontacts.portal.pkli.org.pk                                               | 162.241.14.112  |   A   |
| cpcontacts.powercement.com.pk                                               | 104.244.124.10  |   A   |
| cpcontacts.powergen.ici.com.pk                                              | 104.223.95.199  |   A   |
| cpcontacts.pray.net.pk                                                      | 198.187.29.104  |   A   |
| cpcontacts.psaisb.aims.net.pk                                               | 198.38.82.230   |   A   |
| cpcontacts.pserver.nova.net.pk                                              | 87.98.174.159   |   A   |
| cpcontacts.purchase.com.pk                                                  | 68.65.122.205   |   A   |
| cpcontacts.pyo.org.pk                                                       | 23.111.141.26   |   A   |
| cpcontacts.qec.kinnaird.edu.pk                                              | 116.202.132.25  |   A   |
| cpcontacts.qih.com.pk                                                       | 208.117.38.11   |   A   |
| cpcontacts.rawalexpo.rcci.org.pk                                            | 23.226.129.106  |   A   |
| cpcontacts.rcci.org.pk                                                      | 23.226.129.106  |   A   |
| cpcontacts.rds.net.pk                                                       | 162.215.249.85  |   A   |
| cpcontacts.redapple.com.pk                                                  | 81.19.215.6     |   A   |
| cpcontacts.reporting.pizzahut.com.pk                                        | 23.226.129.112  |   A   |
| cpcontacts.rsheets.spsc.gov.pk                                              | 103.18.243.15   |   A   |
| cpcontacts.rstif.aims.net.pk                                                | 198.38.82.230   |   A   |
| cpcontacts.sabir.pyo.org.pk                                                 | 23.111.141.26   |   A   |
| cpcontacts.sahs.cmhlahore.edu.pk                                            | 65.21.166.30    | error |
| cpcontacts.sahsonline.cmhlahore.edu.pk                                      | 65.21.166.30    |   A   |
| cpcontacts.saifeehospital.com.pk                                            | 198.252.99.166  |   A   |
| cpcontacts.samzglobal.pyo.org.pk                                            | 23.111.141.26   |   A   |
| cpcontacts.saprouter.ici.com.pk                                             | 104.223.95.199  |   A   |
| cpcontacts.sartyoonsang.srso.org.pk                                         | 5.9.81.62       |   A   |
| cpcontacts.sass.gift.edu.pk                                                 | 162.241.224.233 |   A   |
| cpcontacts.sd.smiu.edu.pk                                                   | 192.254.232.36  |   A   |
| cpcontacts.sdgscitizenscorecard.pda.net.pk                                  | 135.181.211.109 |   A   |
| cpcontacts.se.smiu.edu.pk                                                   | 192.254.232.36  |   A   |
| cpcontacts.seas.gift.edu.pk                                                 | 162.241.224.233 |   A   |
| cpcontacts.servicedesk.silicon.net.pk                                       | 23.111.141.26   |   A   |
| cpcontacts.sfada.gift.edu.pk                                                | 162.241.224.233 | error |
| cpcontacts.shifa.com.pk                                                     | 203.82.48.218   |   A   |
| cpcontacts.shop.kdsp.org.pk                                                 | 173.254.71.66   |   A   |
| cpcontacts.shortcourses.aust.edu.pk                                         | 104.223.95.197  |   A   |
| cpcontacts.sial.com.pk                                                      | 192.185.164.247 |   A   |
| cpcontacts.sidathyder.com.pk                                                | 173.205.126.118 |   A   |
| cpcontacts.sidathyder.sidathyder.com.pk                                     | 173.205.126.118 |   A   |
| cpcontacts.silicon.net.pk                                                   | 23.111.141.26   |   A   |
| cpcontacts.sis.baqai.edu.pk                                                 | 50.87.151.20    |   A   |
| cpcontacts.sms.smiu.edu.pk                                                  | 192.254.232.36  |   A   |
| cpcontacts.sop.org.pk                                                       | 199.188.200.241 |   A   |
| cpcontacts.sp.icap.org.pk                                                   | 72.18.130.175   |   A   |
| cpcontacts.speedtest.nova.net.pk                                            | 87.98.174.159   |   A   |
| cpcontacts.spin.com.pk                                                      | 107.178.101.188 |   A   |
| cpcontacts.spsc.gov.pk                                                      | 103.18.243.15   |   A   |
| cpcontacts.srso.org.pk                                                      | 5.9.81.62       |   A   |
| cpcontacts.static.pasha.org.pk                                              | 116.202.132.25  |   A   |
| cpcontacts.stitweb.kp.gov.pk                                                | 175.107.63.150  |   A   |
| cpcontacts.student.baqai.edu.pk                                             | 50.87.151.20    |   A   |
| cpcontacts.student.icap.org.pk                                              | 72.18.130.175   |   A   |
| cpcontacts.superior.edu.pk                                                  | 162.241.85.205  |   A   |
| cpcontacts.support.superior.edu.pk                                          | 162.241.85.206  |   A   |
| cpcontacts.survey.pcp.org.pk                                                | 192.185.166.223 |   A   |
| cpcontacts.swd.balochistan.gov.pk                                           | 192.185.182.82  |   A   |
| cpcontacts.swd2.balochistan.gov.pk                                          | 192.185.182.82  |   A   |
| cpcontacts.syllabus.pyo.org.pk                                              | 23.111.141.26   |   A   |
| cpcontacts.tec.gift.edu.pk                                                  | 202.166.169.35  |   A   |
| cpcontacts.tedx.smiu.edu.pk                                                 | 192.254.232.36  |   A   |
| cpcontacts.tenderadmin.nha.gov.pk                                           | 23.226.129.112  |   A   |
| cpcontacts.test.balochistan.gov.pk                                          | 192.185.182.82  |   A   |
| cpcontacts.test.mufap.com.pk                                                | 144.91.79.25    |   A   |
| cpcontacts.test.nova.net.pk                                                 | 87.98.174.159   |   A   |
| cpcontacts.test.ocean.net.pk                                                | 217.79.245.243  |   A   |
| cpcontacts.test.pkli.org.pk                                                 | 162.241.14.112  |   A   |
| cpcontacts.themlac.aims.net.pk                                              | 198.38.82.230   |   A   |
| cpcontacts.thenetwork.org.pk                                                | 161.97.172.86   |   A   |
| cpcontacts.tinytake.iel.net.pk                                              | 66.170.180.170  |   A   |
| cpcontacts.tj.gcwus.edu.pk                                                  | 162.213.251.63  |   A   |
| cpcontacts.tms.pyo.org.pk                                                   | 23.111.141.26   |   A   |
| cpcontacts.tn.thenetwork.org.pk                                             | 161.97.172.86   |   A   |
| cpcontacts.torghardc.peshawarhighcourt.gov.pk                               | 217.79.245.242  |   A   |
| cpcontacts.tuf.edu.pk                                                       | 3.128.245.252   |   A   |
| cpcontacts.uat.uo.edu.pk                                                    | 194.163.138.108 |   A   |
| cpcontacts.ucdc.peshawarhighcourt.gov.pk                                    | 217.79.245.242  |   A   |
| cpcontacts.um.kinnaird.edu.pk                                               | 116.202.132.25  |   A   |
| cpcontacts.uo.edu.pk                                                        | 194.163.138.108 |   A   |
| cpcontacts.uoch.edu.pk                                                      | 172.98.94.6     |   A   |
| cpcontacts.uom.edu.pk                                                       | 23.111.163.242  |   A   |
| cpcontacts.upnd.balochistan.gov.pk                                          | 192.185.182.82  |   A   |
| cpcontacts.ur.ici.com.pk                                                    | 104.223.95.199  |   A   |
| cpcontacts.urdu.ici.com.pk                                                  | 104.223.95.199  |   A   |
| cpcontacts.urdu.pidc.com.pk                                                 | 72.18.132.9     |   A   |
| cpcontacts.urdu.powergen.ici.com.pk                                         | 104.223.95.199  |   A   |
| cpcontacts.users.nova.net.pk                                                | 87.98.174.159   |   A   |
| cpcontacts.uswat.edu.pk                                                     | 49.12.122.233   |   A   |
| cpcontacts.utif.aims.net.pk                                                 | 198.38.82.230   |   A   |
| cpcontacts.vegasvulkan1000.iel.net.pk                                       | 66.170.180.170  |   A   |
| cpcontacts.vulkanvegasboni.iel.net.pk                                       | 66.170.180.170  |   A   |
| cpcontacts.wp.ocean.net.pk                                                  | 217.79.245.243  |   A   |
| cpcontacts.ww3.nova.net.pk                                                  | 87.98.174.159   |   A   |
| cpcontacts.zil.com.pk                                                       | 192.145.233.159 |   A   |
| cpd.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| cpd.pec.org.pk                                                              | 203.124.51.156  |   A   |
| cpd.punjab.gov.pk                                                           | 103.226.216.152 |   A   |
| cpd.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| cpdes.pmd.gov.pk                                                            | 203.124.42.75   |   A   |
| cpe.agpr.gov.pk                                                             | 210.56.11.83    |   A   |
| cpe.colgate.com.pk                                                          | 35.213.138.68   |   A   |
| cpe.duhs.edu.pk                                                             | 67.222.63.249   |   A   |
| cpe.hoap.org.pk                                                             | 209.105.243.158 |   A   |
| cpe.kfueit.edu.pk                                                           | 175.107.18.165  |   A   |
| cpe.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| cpec.gov.pk                                                                 | 203.101.184.122 |   A   |
| cpec.kp.gov.pk                                                              | 175.107.63.80   |   A   |
| cpec.neduet.edu.pk                                                          | 111.68.110.16   | CNAME |
| cpec.paknavy.gov.pk                                                         | 210.56.28.156   |   A   |
| cpec.pide.org.pk                                                            | unresolvable    | error |
| cpec.punjab.gov.pk                                                          | 103.226.216.153 |   A   |
| cpeccsc.uop.edu.pk                                                          | 121.52.147.19   | CNAME |
| cpecseminar.paknavy.gov.pk                                                  | 210.56.28.156   |   A   |
| cpg.pu.edu.pk                                                               | 111.68.103.27   |   A   |
| cpl.gis.pu.edu.pk                                                           | 111.68.103.27   |   A   |
| cpl.vu.edu.pk                                                               | 182.176.19.154  | CNAME |
| cpmi.lums.edu.pk                                                            | 203.135.62.202  |   A   |
| cpms.punjabpolice.gov.pk                                                    | 103.226.216.185 |   A   |
| cpofsd.pitb.gov.pk                                                          | 103.226.216.152 |   A   |
| cpogrw.punjabpolice.gov.pk                                                  | 103.226.216.152 |   A   |
| cpomul.punjabpolice.gov.pk                                                  | 103.226.216.153 |   A   |
| cporwp.punjabpolice.gov.pk                                                  | 103.226.216.153 |   A   |
| cpq.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| cprs.nceac.org.pk                                                           | 111.68.100.180  |   A   |
| cps.ucp.edu.pk                                                              | 116.71.132.55   |   A   |
| cpsp.edu.pk                                                                 | 111.68.111.15   |   A   |
| cpt.khi.nu.edu.pk                                                           | 166.62.27.185   |   A   |
| cpt.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| cpttc.nust.edu.pk                                                           | 111.68.101.193  |   A   |
| cpv.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| cpw.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| cpw.pmd.gov.pk                                                              | 203.124.42.75   |   A   |
| cpwb.punjab.gov.pk                                                          | 103.226.216.152 |   A   |
| cq.uskt.edu.pk                                                              | 206.72.198.158  |   A   |
| cr.daewoo.com.pk                                                            | 144.76.139.14   |   A   |
| cr.icbb.vu.edu.pk                                                           | 104.21.26.189   | CNAME |
| cr01.colgate.com.pk                                                         | 35.213.138.68   |   A   |
| cr1.pmd.gov.pk                                                              | 203.124.42.75   |   A   |
| cr2.pmd.gov.pk                                                              | 203.124.42.75   |   A   |
| crafts.forex.com.pk                                                         | 167.114.174.80  |   A   |
| craib.iba-suk.edu.pk                                                        | 121.52.154.84   |   A   |
| cran.uskt.edu.pk                                                            | 206.72.198.158  |   A   |
| crbt.zong.com.pk                                                            | 209.150.144.48  |   A   |
| crc.lums.edu.pk                                                             | 203.135.62.202  |   A   |
| crcl.dsu.edu.pk                                                             | 111.68.107.91   |   A   |
| cre.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| create.pieas.edu.pk                                                         | 111.68.99.199   |   A   |
| creativefest.kp.gov.pk                                                      | 175.107.63.150  |   A   |
| cree.uskt.edu.pk                                                            | 206.72.198.158  |   A   |
| creed.uskt.edu.pk                                                           | 206.72.198.158  |   A   |
| cren.uskt.edu.pk                                                            | 206.72.198.158  |   A   |
| crer.szabist.edu.pk                                                         | 111.68.108.201  |   A   |
| crescentcare.pk.sidathyder.com.pk                                           | 173.205.126.118 |   A   |
| cresg.iba-suk.edu.pk                                                        | 121.52.154.84   |   A   |
| crew.piac.com.pk                                                            | 202.14.71.233   |   A   |
| crew1.piac.com.pk                                                           | 202.14.71.234   |   A   |
| crew2.piac.com.pk                                                           | 202.14.71.233   |   A   |
| crew3.piac.com.pk                                                           | 202.14.71.235   |   A   |
| crewserver1.piac.com.pk                                                     | 202.14.71.72    |   A   |
| cri.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| cricket.icbb.vu.edu.pk                                                      | 172.67.138.93   | CNAME |
| cricket.jazz.com.pk                                                         | 34.210.195.43   |   A   |
| cricketpakistan.com.pk                                                      | 172.67.140.88   |   A   |
| criclive.jazz.com.pk                                                        | 185.102.219.8   |   A   |
| crimeidentify.punjab.gov.pk                                                 | 103.226.217.113 |   A   |
| crimson.seecs.nust.edu.pk                                                   | 111.68.101.54   |   A   |
| crm.agpr.gov.pk                                                             | 210.56.11.83    |   A   |
| crm.ccc.pitb.gov.pk                                                         | 103.226.217.189 |   A   |
| crm.colgate.com.pk                                                          | 35.213.138.68   |   A   |
| crm.daewoo.com.pk                                                           | 144.76.139.14   |   A   |
| crm.duhs.edu.pk                                                             | 67.222.63.249   |   A   |
| crm.fbr.gov.pk                                                              | 103.125.60.86   |   A   |
| crm.forex.com.pk                                                            | 167.114.174.80  |   A   |
| crm.galaxy.net.pk                                                           | 103.146.136.138 |   A   |
| crm.gis.pu.edu.pk                                                           | 111.68.103.27   |   A   |
| crm.hoap.org.pk                                                             | 209.105.243.158 |   A   |
| crm.lesco.gov.pk                                                            | 65.254.231.115  |   A   |
| crm.lums.edu.pk                                                             | 147.154.118.78  | CNAME |
| crm.monark.com.pk                                                           | 172.66.43.76    |   A   |
| crm.nbp.com.pk                                                              | 104.18.6.150    | CNAME |
| crm.news.com.pk                                                             | 173.212.196.60  |   A   |
| crm.nova.net.pk                                                             | 103.209.53.5    |   A   |
| crm.pmc.gov.pk                                                              | 43.250.84.119   |   A   |
| crm.pu.edu.pk                                                               | 111.68.103.27   |   A   |
| crm.punjab.gov.pk                                                           | 103.226.216.227 |   A   |
| crm.rds.net.pk                                                              | 43.225.98.93    |   A   |
| crm.sidathyder.com.pk                                                       | 203.101.168.108 | CNAME |
| crm.super.net.pk                                                            | 203.130.2.12    |   A   |
| crm.unze.com.pk                                                             | 110.93.245.222  |   A   |
| crm.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| crmftp.nbp.com.pk                                                           | 208.118.63.5    | CNAME |
| cro-conversation-secure-chatbot.apps.icp4app.jazz.com.pk                    | 119.73.65.187   |   A   |
| cro.kp.gov.pk                                                               | 175.107.63.112  |   A   |
| cro.punjabpolice.gov.pk                                                     | 103.226.217.4   |   A   |
| crobservations.punjab.gov.pk                                                | 103.226.217.184 |   A   |
| crodashboard.lesco.gov.pk                                                   | 65.254.231.115  |   A   |
| crodashboard.punjabpolice.gov.pk                                            | 103.226.217.4   |   A   |
| crohmi.seecs.nust.edu.pk                                                    | 111.68.101.54   |   A   |
| cronus.daewoo.com.pk                                                        | 144.76.139.14   |   A   |
| crony.uskt.edu.pk                                                           | 206.72.198.158  |   A   |
| cropinsurance.punjab.gov.pk                                                 | 103.226.216.243 |   A   |
| cross.daewoo.com.pk                                                         | 144.76.139.14   |   A   |
| crp.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| crp.uet.edu.pk                                                              | 104.21.11.50    |   A   |
| crp.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| crpdev.pitb.gov.pk                                                          | 103.226.217.69  |   A   |
| crs-agripunjab.punjab.gov.pk                                                | 103.226.216.151 |   A   |
| crs-gur.lesco.gov.pk                                                        | 65.254.231.115  |   A   |
| crs.agpr.gov.pk                                                             | 210.56.11.83    |   A   |
| crs.agripunjab.gov.pk                                                       | 103.226.216.151 |   A   |
| crs.colgate.com.pk                                                          | 35.213.138.68   |   A   |
| crs.daewoo.com.pk                                                           | 144.76.139.14   |   A   |
| crs.duhs.edu.pk                                                             | 67.222.63.249   |   A   |
| crs.forex.com.pk                                                            | 167.114.174.80  |   A   |
| crs.hoap.org.pk                                                             | 209.105.243.158 |   A   |
| crs.icbb.vu.edu.pk                                                          | 104.21.26.189   | CNAME |
| crs.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| crs.punjab.gov.pk                                                           | 103.226.217.201 |   A   |
| crsagri7.pitb.gov.pk                                                        | 103.226.216.151 |   A   |
| crsp.vu.edu.pk                                                              | 182.176.19.154  | CNAME |
| crt.covid.gov.pk                                                            | 203.101.184.122 |   A   |
| crt.pmd.gov.pk                                                              | 203.124.42.75   |   A   |
| crv.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| crvs.punjab.gov.pk                                                          | 103.226.216.212 |   A   |
| cs-lms.bzu.edu.pk                                                           | 119.159.230.35  |   A   |
| cs-strikez.duhs.edu.pk                                                      | 67.222.63.249   |   A   |
| cs.ajk.gov.pk                                                               | 210.56.9.108    |   A   |
| cs.balochistan.gov.pk                                                       | 192.185.182.82  |   A   |
| cs.bzu.edu.pk                                                               | 178.63.179.249  |   A   |
| cs.dsu.edu.pk                                                               | 111.68.107.91   |   A   |
| cs.dsw.pu.edu.pk                                                            | 111.68.103.27   |   A   |
| cs.fjwu.edu.pk                                                              | 104.21.91.101   |   A   |
| cs.forex.com.pk                                                             | 167.114.174.80  |   A   |
| cs.iba.edu.pk                                                               | 92.204.133.130  |   A   |
| cs.inauguration.ppra.punjab.gov.pk                                          | 103.226.216.188 |   A   |
| cs.is.pu.edu.pk                                                             | 111.68.103.27   |   A   |
| cs.kp.gov.pk                                                                | 175.107.63.150  |   A   |
| cs.muet.edu.pk                                                              | 104.26.15.173   |   A   |
| cs.nova.net.pk                                                              | 87.98.174.159   |   A   |
| cs.pmd.gov.pk                                                               | 203.124.42.75   |   A   |
| cs.pu.edu.pk                                                                | 111.68.103.27   |   A   |
| cs.qau.edu.pk                                                               | 166.62.36.108   |   A   |
| cs.smiu.edu.pk                                                              | 192.254.232.36  |   A   |
| cs.super.net.pk                                                             | 116.0.48.18     | CNAME |
| cs.uet.edu.pk                                                               | 172.67.165.42   |   A   |
| cs.uoch.edu.pk                                                              | 172.98.94.6     |   A   |
| cs1.cyber.net.pk                                                            | 203.101.171.58  |   A   |
| cs2.daewoo.com.pk                                                           | 144.76.139.14   |   A   |
| cs2.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| cs2.pmd.gov.pk                                                              | 203.124.42.75   |   A   |
| cs3.cyber.net.pk                                                            | 203.101.171.57  |   A   |
| cs8.pmd.gov.pk                                                              | 203.124.42.75   |   A   |
| csa.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| csa.pmd.gov.pk                                                              | 203.124.42.75   |   A   |
| csa.punjab.gov.pk                                                           | 103.226.217.147 |   A   |
| csa.sbp.org.pk                                                              | 117.20.16.122   |   A   |
| csa5.uskt.edu.pk                                                            | 206.72.198.158  |   A   |
| csadmission.uetmardan.edu.pk                                                | 166.62.27.63    |   A   |
| csalt.itu.edu.pk                                                            | 103.226.216.182 |   A   |
| csas.pu.edu.pk                                                              | 111.68.103.27   |   A   |
| csassociation.punjab.gov.pk                                                 | 103.226.217.214 |   A   |
| csbas.kp.gov.pk                                                             | 175.107.63.21   |   A   |
| csc.comsats.net.pk                                                          | 210.56.8.230    |   A   |
| csc.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| csc.uop.edu.pk                                                              | 121.52.147.19   | CNAME |
| csce.cust.edu.pk                                                            | 116.71.132.55   |   A   |
| csconference.lgu.edu.pk                                                     | 52.163.253.156  |   A   |
| cscr.umt.edu.pk                                                             | 104.26.9.95     |   A   |
| cscs.uskt.edu.pk                                                            | 206.72.198.158  |   A   |
| csct.uskt.edu.pk                                                            | 206.72.198.158  |   A   |
| csd.iba-suk.edu.pk                                                          | 121.52.154.68   |   A   |
| csd.umt.edu.pk                                                              | 104.26.8.95     |   A   |
| csd.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| csd2.uskt.edu.pk                                                            | 206.72.198.158  |   A   |
| csde.uskt.edu.pk                                                            | 206.72.198.158  |   A   |
| csdirectives.ajk.gov.pk                                                     | 210.56.11.69    |   A   |
| cse.attendance.quest.edu.pk                                                 | 103.152.255.188 |   A   |
| cse.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| cse.quest.edu.pk                                                            | 103.152.255.188 |   A   |
| cse.uet.edu.pk                                                              | 172.67.165.42   |   A   |
| cshm.iobm.edu.pk                                                            | 165.232.49.111  |   A   |
| csi.agpr.gov.pk                                                             | 210.56.11.83    |   A   |
| csi.daewoo.com.pk                                                           | 144.76.139.14   |   A   |
| csi.pmd.gov.pk                                                              | 203.124.42.75   |   A   |
| csi.punjab.gov.pk                                                           | 103.226.216.148 |   A   |
| csi.uop.edu.pk                                                              | 121.52.147.19   | error |
| csir.psx.com.pk                                                             | 103.250.222.67  |   A   |
| csirt.nust.edu.pk                                                           | 111.68.101.193  |   A   |
| csit.leads.edu.pk                                                           | 64.20.39.18     |   A   |
| csit.superior.edu.pk                                                        | 162.241.85.206  |   A   |
| csit.uob.edu.pk                                                             | 121.52.157.100  |   A   |
| csit.uom.edu.pk                                                             | 23.111.163.242  |   A   |
| csk.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| csksk.uet.edu.pk                                                            | 104.21.11.50    |   A   |
| csm.daewoo.com.pk                                                           | 144.76.139.14   |   A   |
| csns1.cyber.net.pk                                                          | 203.101.171.58  |   A   |
| csns2.cyber.net.pk                                                          | 203.101.171.58  |   A   |
| csns3.cyber.net.pk                                                          | 203.101.171.58  |   A   |
| csns4.cyber.net.pk                                                          | 203.101.171.58  |   A   |
| csns5.cyber.net.pk                                                          | 203.101.171.58  |   A   |
| csns6.cyber.net.pk                                                          | 203.101.171.58  |   A   |
| csns8.cyber.net.pk                                                          | 203.101.171.58  |   A   |
| cso.egdms.punjab.gov.pk                                                     | 103.226.216.23  |   A   |
| cso.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| cso.lums.edu.pk                                                             | 104.26.1.107    | CNAME |
