zz.colgate.com.pk,Disabled
zyxwvutsrcmsapp.lesco.gov.pk,Disabled
zyxwvu.lesco.gov.pk,Disabled
zyxwv.pmd.gov.pk,Disabled
zyxwv.lesco.gov.pk,Disabled
zyxwv.icbb.vu.edu.pk,Disabled
zynah.fu.edu.pk,Disabled
zy.colgate.com.pk,Disabled
zy.agpr.gov.pk,Disabled
zxc.tuf.edu.pk,Disabled
z-www.pmc.gov.pk,Enabled
zw.icbb.vu.edu.pk,Disabled
zuqiubocaijiqiao.daewoo.com.pk,Disabled
zuqiubocaigongsi.daewoo.com.pk,Disabled
zufest.zu.edu.pk,Enabled
zufestm.zu.edu.pk,Enabled
zu.edu.pk,Enabled
zueb.edu.pk,Enabled
zubair.szabist-isb.edu.pk,Enabled
zubairfabrics.dukan.pk,Enabled
ztc.agpr.gov.pk,Disabled
ztbl.com.pk,Disabled
zssr.ccs.gov.pk,Disabled
zssq.ccs.gov.pk,Disabled
zssl.ccs.gov.pk,Disabled
zs.pmd.gov.pk,Disabled
zsp.gov.pk,Disabled
zsd.gov.pk,Disabled
zpmc.gov.pk.pmc.gov.pk,Disabled
z-pmc.gov.pk.pmc.gov.pk,Disabled
z.pmc.gov.pk,Enabled
zoyacloth.dukan.pk,Enabled
zouk.dukan.pk,Enabled
zorion.kgs.edu.pk,Disabled
zoo.qau.edu.pk,Disabled
zoom.habib.edu.pk,Enabled
zoom.daewoo.com.pk,Disabled
zoomaclass.thebenchmark.com.pk,Enabled
zool.pu.edu.pk,Disabled
zoology.uoch.edu.pk,Enabled
zool-honeybee.pu.edu.pk,Disabled
zool-fishfarm.pu.edu.pk,Disabled
zoo.colgate.com.pk,Disabled
zonline.pmc.gov.pk,Enabled
zongtv.pk,Disabled
zong.rozee.pk,Enabled
zongitapps-stg.zong.com.pk,Disabled
zongdost.zong.com.pk,Disabled
zong.daraz.pk,Enabled
zong.com.pk,Disabled
zongcdn.goonj.pk,Disabled
zones.rozee.pk,Enabled
zolozapi.telenorbank.pk,Disabled
zohtaskdev-ops.ffd.pmd.gov.pk,Disabled
zni.mulphico.pk,Disabled
znf.icbb.vu.edu.pk,Disabled
zmt.zong.com.pk,Enabled
zmis.pitb.gov.pk,Disabled
zmf.szabist.edu.pk,Enabled
zmc.zu.edu.pk,Enabled
zmail.shield.com.pk,Disabled
zmail.ptcl.net.pk,Enabled
zmail.mpp.pu.edu.pk,Disabled
zmail.mmg.pu.edu.pk,Disabled
zmail.lesco.gov.pk,Disabled
zmail.itc.pu.edu.pk,Disabled
zmail.is.pu.edu.pk,Disabled
zmail.ier.pu.edu.pk,Disabled
zmail.ias.pu.edu.pk,Disabled
zmail.hoap.org.pk,Disabled
zmail.gis.pu.edu.pk,Disabled
zmail.geo.pu.edu.pk,Disabled
zmail.forex.com.pk,Disabled
zmail.eco.pu.edu.pk,Disabled
zmail.dsw.pu.edu.pk,Disabled
zmail.dailytimes.com.pk,Disabled
zmail.cod.pu.edu.pk,Disabled
zmail.cct.pu.edu.pk,Disabled
zmail.cad.pu.edu.pk,Disabled
zmail.bsw.pu.edu.pk,Disabled
zl.colgate.com.pk,Disabled
zkteco.net.pk,Enabled
z.kp.gov.pk,Disabled
zipkin0.jobs.com.pk,Enabled
zipkin0.int.jobs.com.pk,Disabled
zim.uskt.edu.pk,Disabled
zims.punjab.gov.pk,Disabled
zimbra.super.net.pk,Disabled
zimbra.shield.com.pk,Disabled
zimbra.rds.net.pk,Disabled
zimbra.nayatel.net.pk,Disabled
zimbra.mmg.pu.edu.pk,Disabled
zimbra.lpp.org.pk,Disabled
zimbra.itc.pu.edu.pk,Disabled
zimbra.is.pu.edu.pk,Disabled
zimbra.ier.pu.edu.pk,Disabled
zimbra.ias.pu.edu.pk,Disabled
zimbra.gis.pu.edu.pk,Disabled
zimbra.forex.com.pk,Disabled
zimbra.eco.pu.edu.pk,Disabled
zimbra.dws.pu.edu.pk,Disabled
zimbra.dsw.pu.edu.pk,Disabled
zimbra.dks.pu.edu.pk,Disabled
zimbra.dailytimes.com.pk,Disabled
zimbra.daewoo.com.pk,Disabled
zimbra.cct.pu.edu.pk,Disabled
zimbra.cad.pu.edu.pk,Disabled
zimbra.bankislami.com.pk,Enabled
zimaidarofficer.pitb.gov.pk,Disabled
zilgeo.zil.com.pk,Disabled
zil.com.pk,Enabled
z.icbb.vu.edu.pk,Disabled
zibo.daewoo.com.pk,Disabled
zia-ur-rehman.pu.edu.pk,Disabled
ziaetahqeeq.gcuf.edu.pk,Enabled
zh.uskt.edu.pk,Disabled
zh.kp.gov.pk,Disabled
zhenrenyule.daewoo.com.pk,Disabled
zfp.zu.edu.pk,Enabled
zfnm.zu.edu.pk,Enabled
zfl.zu.edu.pk,Enabled
zeuslms.uskt.edu.pk,Disabled
zeus.duhs.edu.pk,Disabled
zetatech.com.pk,Enabled
zeroviruses.olx.com.pk,Enabled
zerocarbon.com.pk,Enabled
zephyr.daewoo.com.pk,Disabled
zensulturemuseum.ndmc.pmd.gov.pk,Disabled
zenmewanbaijiale.daewoo.com.pk,Disabled
zenmeduqiu.daewoo.com.pk,Disabled
zend.kkkuk.edu.pk,Enabled
zendesk4.foodpanda.pk,Disabled
zendesk3.foodpanda.pk,Disabled
zendesk2.foodpanda.pk,Disabled
zendesk1.foodpanda.pk,Disabled
zen.daewoo.com.pk,Disabled
zen.colgate.com.pk,Disabled
zeeshan-yousaf.pu.edu.pk,Disabled
zedflix.pk,Disabled
zealfoodbavreges1.dukan.pk,Enabled
zd.stza.pk,Enabled
zd.stza.gov.pk,Disabled
zdc.zu.edu.pk,Enabled
zda.sindh.gov.pk,Disabled
zc.zerocarbon.com.pk,Disabled
zcslhs.zu.edu.pk,Enabled
zcrs.zu.edu.pk,Enabled
zcpm.zu.edu.pk,Enabled
zcon.zu.edu.pk,Enabled
zcoms.zu.edu.pk,Enabled
zcmt.zu.edu.pk,Enabled
zcc.zerocarbon.com.pk,Disabled
zc.colgate.com.pk,Disabled
zb.uskt.edu.pk,Disabled
zax.uskt.edu.pk,Disabled
zawiya.aces.pk,Enabled
zask-group.kpcsw.gov.pk,Enabled
zaryaatskitchen.dukan.pk,Enabled
zarat.kp.gov.pk,Enabled
zarat.11.kp.gov.pk,Disabled
zarafa.daewoo.com.pk,Disabled
zambeel.lums.edu.pk,Enabled
zamakp.kpexcise.gov.pk,Disabled
zal.mispl.pk,Disabled
zal.insta.com.pk,Disabled
zakia-latif.pu.edu.pk,Disabled
zakat_ushr.kp.gov.pk,Enabled
zakat.punjab.gov.pk,Enabled
zakat.habib.edu.pk,Enabled
zakat.ajk.gov.pk,Enabled
zakar.lesco.gov.pk,Disabled
zakah.mul.edu.pk,Enabled
zaixianbocaiyule.daewoo.com.pk,Disabled
zainoptics.dukan.pk,Enabled
zail.lesco.gov.pk,Disabled
zahoor-ahmad-awan.pu.edu.pk,Disabled
zahidandtariq.ion.com.pk,Enabled
zaeem-ul-haq-bhatti.pu.edu.pk,Disabled
zabvision.szabist-isb.edu.pk,Disabled
